Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Wizard of OZ KIDS ,2024-02-26,4:30,2024-02-26,7:30pm,False,SHSA Event,UAC,True
Wizard of OZ KIDS ,2024-02-27,4:30,2024-02-27,7:30pm,False,SHSA Event,UAC,True
Wizard of OZ KIDS ,2024-02-28,4:30,2024-02-28,7:30pm,False,SHSA Event,UAC,True
Wizard of OZ KIDS ,2024-02-29,5:30,2024-02-29,8:00pm,False,SHSA Event,UAC,True
,,,,,,,,
,,,,,,,,
Wizard of OZ KIDS ,2024-03-01,9:00,2024-03-01,11:00am   5:30,False,SHSA Event,UAC,True
Wizard of OZ KIDS ,2024-03-02,1:00,2024-03-02,3:00pm,False,SHSA Event,UAC,True
,,,,,,,,
Finding Nemo KIDS,2024-03-04,4:30,2024-03-04,7:30pm,False,SHSA Event,UAC,True
Finding Nemo KIDS,2024-03-05,4:30,2024-03-05,7:30pm,False,SHSA Event,UAC,True
Finding Nemo KIDS,2024-03-06,4:30,2024-03-06,7:30pm,False,SHSA Event,UAC,True
Finding Nemo KIDS,2024-03-07,5:30,2024-03-07,8:00pm,False,SHSA Event,UAC,True
Finding Nemo KIDS,2024-03-08,9:00,2024-03-08,11:00am   5:30,False,SHSA Event,UAC,True
Finding Nemo KIDS,2024-03-09,1:00,2024-03-09,3:00pm   6:00,False,SHSA Event,UAC,True
SHA Little Mermaid,2024-03-10,,2024-03-10,,False,SHSA Event,UAC,True
SHA Little Mermaid,2024-03-11,,2024-03-11,,False,SHSA Event,UAC,True
SHA Little Mermaid,2024-03-12,,2024-03-12,,False,SHSA Event,UAC,True
SHA Little Mermaid,2024-03-13,,2024-03-13,,False,SHSA Event,UAC,True
SHA Little Mermaid,2024-03-14,,2024-03-14,,False,SHSA Event,UAC,True
SHA Little Mermaid,2024-03-15,,2024-03-15,,False,SHSA Event,UAC,True
SHA Little Mermaid,2024-03-16,,2024-03-16,,False,SHSA Event,UAC,True
SHA Little Mermaid,2024-03-17,,2024-03-17,,False,SHSA Event,UAC,True
SHA Little Mermaid,2024-03-21,,2024-03-21,,False,SHSA Event,UAC,True
SHA Little Mermaid,2024-03-22,,2024-03-22,,False,SHSA Event,UAC,True
SHA Little Mermaid,2024-03-23,,2024-03-23,,False,SHSA Event,UAC,True
